,id,text,dayOfWeek,time,lang,retweet_count,like_count,reply_count,quote_count,cashtags,hashtags,mention_count,images,author_id
59,1487574288605536258,"Most families who live in the US align with constitutional conservative republicans. I love connecting with people and hearing about what matters most to them! 

#texansforlopez 
#truegrassroots
#freedomworks #texasprimaryelection https://t.co/JbqaJA0Ur5",6,23:52:02,en,0,2,0,0,[],"['texansforlopez', 'truegrassroots', 'freedomworks', 'texasprimaryelection']",0,['https://t.co/JbqaJA0Ur5'],1392663003527532550
60,1487574278073720833,In a New World/Law in Order my beautiful yet SO Hurting family members worldwide all magical #Species &amp; their SO beautiful BABIES/YOUTH including magical #Insects #Animals #Fish &amp; their SO beautiful @lopezobrador_ @seyfarthshawLLP @UCincinnatiLaw @CVMTU @PresidentISL Cont https://t.co/UFDw5eM272,6,23:52:00,en,1,1,0,0,[],"['Species', 'Insects', 'Animals', 'Fish']",0,"['https://t.co/UFDw5eM272', 'https://t.co/UFDw5eM272', 'https://t.co/UFDw5eM272', 'https://t.co/UFDw5eM272']",1050125829114609667
61,1487574264018452480,"[Download] EBOOK -&gt; https://t.co/q3DAHk46w4
 Maximized Manhood: A Guide to Family Survival https://t.co/T7HLb5cIvf",6,23:51:56,en,0,0,0,0,[],[],0,"['https://t.co/q3DAHk46w4', 'https://t.co/T7HLb5cIvf']",1476411057774100482
62,1487574252685561857,YOOO! My fellow #Friends #Family #Twittersphere #SNKRScommunity MY TWO BEAUTIFUL DAUGHTERS!!!! WE ARE GETTING READY FOR DISNEY WORLD! WE ARRIVE TOMORROW!!!!! #Blessed #Grateful #Humbled https://t.co/vFkNYC3t8N,6,23:51:54,en,0,26,3,0,[],"['Friends', 'Family', 'Twittersphere', 'SNKRScommunity', 'Blessed', 'Grateful', 'Humbled']",0,['https://t.co/vFkNYC3t8N'],519182562
63,1487574225422786563,@TheLegendsNFTs @Oprah @SuperSoulSunday @TheLegendsNFTs and @Oprah Here is my House of Legends NFT that I own of U. The House of Legends NFT project is giving back to the world they are providing water to families for life in Africa and in India. See them below my Oprah NFT!♥️ https://t.co/zVPHdTjyB1,6,23:51:47,en,0,1,0,0,[],[],0,['https://t.co/zVPHdTjyB1'],1020645920113872903
64,1487574222805344256,Larsa went all the way back to Miami to yell at these women when we all know it’s *that family* in Calabasas she’s mad at #RHOM https://t.co/crNoYsEKbM,6,23:51:47,en,0,1,0,0,[],['RHOM'],0,['https://t.co/crNoYsEKbM'],112328626
65,1487574221047930882,"Lacrosse is a family thing! Always great to play against your brother. 

#ROCvsTOR #NLL https://t.co/W9BUlOxpVx",6,23:51:46,en,3,93,0,2,[],"['ROCvsTOR', 'NLL']",0,['https://t.co/W9BUlOxpVx'],45913677
66,1487574217340108803,"I may have spent long enough in your orbit to have absorbed your ferocious conviction that a happy family c
. ًمـ   كود By prolonged and continued  No ك ــخصم, He iنَمَشَـےَI•

🚨 https://t.co/E2vqHp0Vli",6,23:51:45,en,0,0,1,0,[],[],0,['https://t.co/E2vqHp0Vli'],1487573039923478533
67,1487574212097331204,"We take the series 3-1 against Asesino Family and move on to @NACAL_COD Winners Semifinals and will face off against @NewThreat 

Great job to the team

-@Shnopsh 
-@FlinchedTK 
-@ReloadzUS 
-@MasonReact https://t.co/JXle5PVvKE",6,23:51:44,en,2,6,0,0,[],[],0,['https://t.co/JXle5PVvKE'],4575212355
68,1487574192002326529,"And my Ape Family keeps on growing...🍌🦍⚡️
Who´s next? 👀
@ElrondAPEsClub @BabiesDegen @MonkeysSY https://t.co/Gc03RuGxwS",6,23:51:39,en,1,11,4,0,[],[],0,"['https://t.co/Gc03RuGxwS', 'https://t.co/Gc03RuGxwS', 'https://t.co/Gc03RuGxwS', 'https://t.co/Gc03RuGxwS']",1301139369798119426
